,Country Name,Time,Agricultural Land,CO2 Emission,Coal Rents,Forest Rents,GDP Growth
0,Aruba,1990,11.1111111111111,,0.0,0.00155209457207621,3.96140172676485
1,Africa Eastern and Southern,1990,43.5702639252761,309980.8254427,1.6161545220795699,3.15336175411883,0.0529770359994046
2,Afghanistan,1990,58.266703427993704,2960.0,,,
3,Africa Western and Central,1990,35.2376887344154,90210.0,0.00407025825102329,3.78348794270201,6.43720769340639
4,Angola,1990,46.0447581615465,6330.0,0.0,0.9974141877288829,-3.45009868360484
5,Albania,1990,40.912408759124105,6050.0,0.224522159849684,1.46527977429442,-9.57564016948643
6,Andorra,1990,48.936170212766,410.0,,0.0,3.78138758962959
7,Arab World,1990,31.5346007369023,639188.590050262,0.000715020767076589,0.0918681951611294,13.0654376027021
8,United Arab Emirates,1990,4.01295409743734,55400.0,0.0,0.000290644019957572,18.3279855336405
9,Argentina,1990,46.612879061932496,99840.0,0.000737055720447168,0.141486114906559,-2.4672137763745896
10,Armenia,1990,,19850.0,0.0,0.0,
11,American Samoa,1990,15.0,,,,
12,Antigua and Barbuda,1990,20.4545454545455,210.0,0.0,0.0,3.01171468574839
13,Australia,1990,60.455462556786394,263600.0,0.370667297413451,0.193415291599349,3.57099814702293
14,Austria,1990,36.6178251392589,58270.0,0.00358144545365548,0.161451711193574,4.34564139947821
15,Azerbaijan,1990,,57520.0,0.0,0.0,
16,Burundi,1990,82.1651090342679,190.0,0.0,13.369280953136,3.4998221400370095
17,Belgium,1990,43.9670932358318,109310.0,0.00232406471993844,0.0431297631455825,3.1374023155744504
18,Benin,1990,20.1312522170983,380.0,0.0,6.386831644266749,8.97613436064657
19,Burkina Faso,1990,34.996345029239805,590.0,0.0,6.54284076435689,-0.602928480009965
20,Bangladesh,1990,79.7879695782438,11520.0,0.0,0.422271400921137,5.62225816160702
21,Bulgaria,1990,55.6720600198861,73560.0,0.23074383095346399,0.395141678661593,-9.11737709653309
22,Bahrain,1990,11.594202898550698,10740.0,0.0,0.0012841010919734301,4.43799717642639
23,"Bahamas, The",1990,1.1988011988012,1780.0,0.0,0.117517922654803,-1.5962490864956
24,Bosnia and Herzegovina,1990,,23970.0,,,
25,Belarus,1990,,99850.0,0.0,0.0,
26,Belize,1990,5.523893029373079,330.0,0.0,0.763749696295813,11.443388728931902
27,Bermuda,1990,5.55555555555556,,0.0,0.0,0.0192122958719239
28,Bolivia,1990,32.7286993445952,5680.0,0.0,0.6299490851028511,4.6357859096007
29,Brazil,1990,28.104339003653898,198260.0,0.00537152221423567,0.73141576201266,-3.10235594875007
30,Barbados,1990,44.1860465116279,980.0,0.0,0.0027958752654343,-3.3075933075933097
31,Brunei Darussalam,1990,2.08728652751423,3920.0,0.0,0.0971610424909614,1.08942053548758
32,Bhutan,1990,9.716841812383619,130.0,0.00805406594723232,6.000700455894671,10.3831179114785
33,Botswana,1990,45.914280168687,2810.0,0.376737732654265,0.474156784871096,6.772821949325531
34,Central African Republic,1990,8.035570965360039,160.0,0.0,6.31942611365198,-2.1475280657408704
35,Canada,1990,6.84874057368227,419120.0,0.180125049171957,0.18526904979850303,
36,Central Europe and the Baltics,1990,,988720.0,1.12897283788998,0.405429434525015,
37,Switzerland,1990,40.6208100381998,43330.0,0.0,0.0397362260758699,3.6746256974126803
38,Channel Islands,1990,42.9292929292929,,,,
39,Chile,1990,21.383074299424898,30410.0,0.028030071571712,1.12953604504135,3.33356547272084
40,China,1990,53.7516963458667,2173360.0,1.6922285818237701,0.8743438754133349,3.9202513677656903
41,Cote d'Ivoire,1990,59.5283018867925,2710.0,0.0,3.97715725219032,-1.09590841115427
42,Cameroon,1990,19.398785724863,2900.0,0.0,3.56017923998595,-6.105697646082691
43,"Congo, Dem. Rep.",1990,11.451004609514598,3180.0,0.0259130599470077,11.374204847797198,-6.56831069464246
44,"Congo, Rep.",1990,30.808199121522698,840.0,0.0,5.3038500379788,1.00000356694392
45,Colombia,1990,40.6336187471834,48860.0,0.234974122810288,0.37728888157671203,4.2819983320757204
46,Comoros,1990,61.257388500805995,70.0,0.0,0.7330427037545281,5.09123641339696
47,Cabo Verde,1990,16.8734491315136,100.0,0.0,0.5992865097085479,0.692171874341213
48,Costa Rica,1990,43.059146102624396,2870.0,0.0,3.2925401804883396,3.55306336479569
49,Caribbean small states,1990,4.8519945658885995,28330.0,0.0,0.459956426873414,0.941880811798626
50,Cuba,1990,62.7653631284916,35410.0,0.0,0.155675019325363,-2.94856494522188
51,Curacao,1990,,,,,
52,Cayman Islands,1990,11.25,,,,
53,Cyprus,1990,17.3809523809524,4560.0,0.0,0.0185872420548144,7.403999506038491
54,Czech Republic,1990,,150200.0,1.37922283428221,0.0,
55,Germany,1990,51.6483831237648,955310.0,0.10366949414755301,0.0889148293178387,5.255006082780111
56,Djibouti,1990,56.039689387402895,330.0,0.0,0.568218462864821,
57,Dominica,1990,24.0,60.0,0.0,0.0424905197415057,5.417983566995231
58,Denmark,1990,65.7702288275537,52080.0,0.0,0.0229838600708817,1.4752442765041
59,Dominican Republic,1990,52.701304077830706,7860.0,0.0,0.0809233370829144,-5.45431239470214
60,Algeria,1990,16.2385482882263,67890.0,0.0,0.126123910852539,0.8000005799816852
